id,name,jl_number,longitude,latitude,ac_id
72,Junkanali,126,86.94863989999998,23.2322966,928
73,Kendbona,127,87.0992548,23.4232693,923
75,Batdeuli,129,86.9686658,23.2326823,928
76,Purundihi,130,86.9686658,23.226733,928
77,Kumidya,131,86.9617829,23.2154458,928
78,Penchaldihi,132,86.973671,23.2208797,928
79,Siarbedya,133,86.91359820000002,22.8551749,926
80,Andharthol,134,86.973671,23.2000565,928
81,Sutijor,135,86.9680401,23.2021797,928
82,Shyamdanga,136,86.96428590000002,23.1976455,928
84,Shunukpahari,138,86.97304539999998,23.1844268,928
87,Chikchika,141,86.96366009999998,23.179041,928
88,Puramouli,142,86.9717941,23.168041100000003,928
89,Dhobagaon,143,86.9811778,23.1793762,928
92,Nayabadi,146,86.99055960000004,23.1654241,930
93,Sagunsara,147,86.991185,23.1706421,928
96,Khap,150,87.0011902,23.173807,928
97,Shushunia,151,87.006192,23.1798516,930
98,Dubraji,152,87.0143188,23.1852113,928
99,Helna,153,87.00431640000002,23.1820473,928
100,Fagua Kanali,154,86.9936865,23.1915139,928
101,Dumuriya,155,87.1054941,23.4620457,923
102,Chaturdihi,156,86.99181039999998,23.1981716,928
103,Supurdihi,157,86.9811778,23.200200100000004,928
104,Golamitara,158,86.98993420000002,23.207804,928
105,Taribaterdihi,159,86.98367979999998,23.2151216,928
106,Harumalliker Bankata,160,86.9805523,23.221755,928
108,Keranipur,162,86.9894652,23.2362408,928
109,Kaludihi,163,86.9861817,23.2270682,928
110,Chhatardihi,164,86.99618790000002,23.2302335,928
